term,occurrences,rank,product_id,name,price_value,quantity,dietary
pretzels,43,12,10720183,Pepperidge Farm Goldfish Baked Snack Crackers - Colors,5.6,187g,
pretzels,43,13,13061918,Nutella & Go Biscuit,2.8,48g,
pretzels,43,14,11932495,Pepperidge Farm Goldfish Baked Crackers - Cheddar,5.6,187g,
pretzels,43,15,13193455,Lotte Pepero Stick Biscuits - Strawberry,1.75,32g,
pretzels,43,16,13158679,Glico Pretz Stick Biscuit - Pizza,0.97,31g,Halal
pretzels,43,17,13267991,Glico Pocky Biscuit Sticks - Milk,1.0,40g,Halal
pretzels,43,18,13008823,Meiji Lucky Biscuit Stick - Chocolate,2.7,8 x 15g,Halal
pretzels,43,19,13072166,Meiji Printed Biscuits - Dinoland,1.37,70g,
pretzels,43,20,13150320,Glico Pocky Family Pack Biscuit Sticks - Cookies & Cream,4.89,8 per pack,
babyfood,48,1,12302241,"Rafferty's Garden Baby Food - Blueberry, Banana & Apple",3.48,120g,
babyfood,48,2,13198051,Gerber Puree Baby Food After 6 Months - Prunes,2.11,80g,
babyfood,48,3,13018597,Rafferty's Garden Baby Food - Pear & Superberries,3.48,120g,
babyfood,48,4,12441276,Rafferty's Garden Baby Food - Pear & Apricot,3.48,120g,
babyfood,48,5,12302292,"Rafferty's Garden Baby Food - Pumpkin, Apple & Sweetcorn",3.48,120g,
babyfood,48,6,13233732,Rafferty's Garden Baby Food Puree - Summer Fruits & Quinoa,3.48,120g,
babyfood,48,7,12302321,"Rafferty's Garden Baby Food - Spinach, Apple, Broccoli & Pea",3.48,120g,
babyfood,48,8,13198052,Gerber Puree Baby Food After 6 Months - Applesauce,2.11,80g,
babyfood,48,9,13233632,"Rafferty's Garden Baby Food - Brown Rice, Bean & Pumpkin",3.48,120g,
babyfood,48,10,13191857,Ddoddomam Baby Rice Stick - Vegetable,6.31,20g,
babyfood,48,11,12302217,"Rafferty's Garden Baby Food - Apple, Pear & Cinnamon",3.48,120g,
babyfood,48,12,13230373,"Organix Puree Pouch - Oatmeal,Apple,Banana,Raspberry&Blueberry",5.3,100g,Organic
babyfood,48,13,13241982,Gerber Organic Pouch Puree - Pear Mango Avocado,5.55,99g,Organic
babyfood,48,14,13186731,"Gerber Organic Gentle Teethers Wafers - Mango, Banana, Carrot",11.46,48g,Organic
babyfood,48,15,13179562,Gerber Organic Baby Cereal - Oatmeal Banana,11.46,227g,Organic
babyfood,48,16,13126813,Bellamy's Organic Ready to Eat Baby Food - Apple & Fig Oatmeal,5.3,120g,Organic
babyfood,48,17,13186732,Gerber Organic Gentle Teethers Wafers - Blueberry Apple Beet,11.46,48g,Organic
babyfood,48,18,13230375,"Organix Fruit Puree Pouch - Apple, Strawberry & Blueberry",5.3,100g,Organic
babyfood,48,19,13126817,Bellamy's Organic Ready to Eat Baby Food - Banana Apple Porridge,5.3,120g,Organic
babyfood,48,20,13230372,"Organix Fruit Puree Pouch - Mango, Pear & Granola",5.3,100g,Organic
squash,54,1,90145601,Agro Fresh Pumpkin - Whole,2.95,1 S,
squash,54,2,90215551,Agro Fresh Zucchini-Green,2.45,1 S,
squash,54,3,90169109,Yuan Zhen Yuan Japanese Pumpkin Seg Cut,5.95,1 KG,
squash,54,4,90187575,Yuan Zhen Yuan Zucchini Green,4.8,600 G,
squash,54,5,90171165,Yuan Zhen Yuan Butternut Pumpkin Seg Cut,5.34,500 G,
squash,54,6,90089354,ZENXIN Organic Pumpkin,5.6,300 G,Organic
squash,54,7,90187570,Yuan Zhen Yuan Butternut Pumpkin,7.9,1 KG,
squash,54,8,90189718,Yuan Zhen Yuan Zucchini Yellow,4.5,600 G,
squash,54,9,90160955,"Agro Fresh Hairy Gourd (Marrow, Fuzzy Squash)",2.98,550 G,
squash,54,10,90183480,Vegeponics Australia Pumpkin,5.0,500 G,
squash,54,11,90104645,Butternut Pumpkin,12.99,1 KG,
squash,54,12,90240741,FreshCo. Pumpkin,27.0,3.5 KG,
squash,54,13,210790,Dragon Coin Fruit Cordial - Orange Squash,2.29,1L,Halal
squash,54,14,90229128,ST-C Deodorizer For Garbage Bin - Menthol Squash,7.5,2 S,
squash,54,15,90043132,Bush Squash Seeds,3.53,1 S,
squash,54,16,90238872,FreshCo. Chayote,2.3,350 G,
squash,54,17,90130223,Auga Organic Creamy Butternut Squash Soup with Sweet Potatoes,7.67,400 G,
squash,54,18,13238540,Skittles Squishy Clouds - Fruits,3.75,94g,
squash,54,19,90215709,PlayDoh Starwars Squish n Slice Lightsabers Playset,29.9,1 S,
muffin,37,1,13253779,Treats Muffin - Chocolate Chips,1.3,60g,Halal
muffin,37,2,13253780,Treats Muffin - Double Chocolate,1.3,60g,Halal
muffin,37,3,13253782,Treats Chocolate Muffin - Salted Caramel,1.3,60g,Halal
muffin,37,4,90039037,Delyco Vanilla Muffin - Bundle of 2,7.05,2 x 230 G,
muffin,37,5,90039036,Delyco Banana Muffin - Bundle of 2,7.05,2 x 230 G,
muffin,37,6,90039187,Delyco Chocolate Muffin - Bundle of 2,7.05,2 x 230 G,
muffin,37,7,90039188,Delyco Pandan Muffin - Bundle of 2,7.05,2 x 230 G,
muffin,37,8,13097419,Betty Crocker Muffin Mix - Chocolate Chip,4.99,430g,Halal
muffin,37,9,13026090,Pepperidge Farm Goldfish Baked Grahams - Vanilla Cupcake,5.6,187g,
muffin,37,10,90216389,NoStik Silicon Muffin Liner - Brown,29.95,12 S,
muffin,37,11,90202946,On Line Kids Detangling Spray - Muffin,6.9,200 ML,
muffin,37,12,90202295,Dodomu Mermaid Cupcake Border,13.0,24 S,
muffin,37,13,90184572,BEST Choice Lovely Printed Muffin Cake Cup Liner (M),6.9,20 PC,
muffin,37,14,90223289,Yes You Can Cupcake Mix - Red Velvet,11.2,450 G,
muffin,37,15,90245093,BEST Choice Starry Printed Muffin Cake Cup Liners,6.9,20 S,
